date,open,high,low,close,volume
2000-03-31,149.62,152.31,148.44,150.38,9250000
2000-04-03,150.12,151.25,148.69,151.25,8510000
2000-04-04,151.75,153.0,141.39,145.75,21060000
2000-04-05,147.88,150.81,147.62,149.19,8230000
2000-04-06,150.25,151.69,149.0,150.48,6380000
2000-04-07,151.56,152.12,150.5,151.44,6020000
2000-04-10,151.75,153.11,150.31,150.84,9620000
2000-04-11,150.0,151.62,148.38,150.41,9010000
2000-04-12,150.38,151.16,146.16,146.28,10780000
2000-04-13,147.47,148.16,141.12,144.25,12230000
2000-04-14,142.62,142.81,133.5,136.0,29600000
2000-04-17,135.19,140.75,134.69,140.75,23920000
2000-04-18,140.56,144.47,139.78,144.47,11070000
2000-04-19,144.5,145.12,142.53,143.12,6550000
2000-04-20,143.56,143.94,142.38,143.81,8540000
2000-04-24,141.5,143.31,140.5,142.25,12890000
2000-04-25,144.62,148.16,144.44,148.16,14100000
2000-04-26,147.97,148.75,146.0,146.48,7710000
2000-04-27,143.0,147.34,143.0,146.0,15600000
2000-04-28,147.0,147.86,145.06,145.09,8740000
2000-05-01,146.56,148.48,145.84,147.06,7330000
2000-05-02,145.5,147.12,144.12,144.12,9410000
2000-05-03,144.0,144.0,139.78,140.75,12630000
2000-05-04,142.0,142.36,140.75,141.81,5960000
2000-05-05,141.06,144.0,140.94,143.53,7860000
2000-05-08,142.75,143.38,141.84,142.45,5060000
2000-05-09,143.06,143.41,140.27,141.31,5620000
2000-05-10,140.5,140.97,137.75,138.12,10290000
2000-05-11,140.12,141.5,139.12,141.28,7090000
2000-05-12,141.81,143.47,141.62,142.81,5960000
2000-05-15,142.75,145.61,142.0,145.28,4440000
2000-05-16,146.56,147.72,145.31,146.69,8190000
2000-05-17,145.69,146.19,144.47,145.16,5910000
2000-05-18,145.62,146.31,143.38,143.38,4330000
2000-05-19,142.56,143.23,140.41,141.12,6520000
2000-05-22,141.25,141.47,137.0,140.06,10840000
2000-05-23,140.44,140.81,137.56,138.0,7980000
2000-05-24,138.0,140.69,136.5,140.25,11080000
2000-05-25,140.69,141.81,137.72,137.84,8280000
2000-05-26,138.81,139.69,137.33,138.0,4810000
2000-05-30,140.0,142.94,139.47,142.5,5360000
2000-05-31,142.56,144.0,142.09,142.81,6060000
2000-06-01,143.69,145.44,143.0,145.31,8960000
2000-06-02,148.94,149.09,147.48,147.84,8960000
2000-06-05,147.47,148.22,146.88,147.12,7000000
2000-06-06,146.62,147.78,145.91,146.47,4860000
2000-06-07,146.62,148.0,146.0,147.48,4920000
2000-06-08,147.5,147.75,146.06,146.91,5720000
2000-06-09,147.5,147.97,145.62,146.59,3090000
2000-06-12,146.97,146.97,144.88,144.88,3480000
2000-06-13,144.81,147.75,144.62,147.59,6560000
2000-06-14,148.25,148.88,147.19,147.84,6420000
2000-06-15,148.12,148.75,146.84,148.16,5880000
2000-06-16,148.31,148.31,145.88,146.59,5570000
2000-06-19,146.47,149.16,146.25,148.47,5110000
2000-06-20,148.19,148.88,147.0,147.94,6480000
2000-06-21,146.94,148.44,146.89,147.88,3120000
2000-06-22,147.56,147.69,145.0,145.62,7490000
2000-06-23,145.81,146.12,143.88,144.38,4860000
2000-06-26,145.38,146.25,144.88,146.23,5200000
2000-06-27,145.98,146.72,145.02,145.16,4160000
2000-06-28,145.62,146.98,145.31,145.56,5350000
2000-06-29,144.75,145.75,143.52,144.19,6350000
2000-06-30,143.94,145.59,143.89,145.28,7420000
2000-07-03,145.44,147.44,145.19,147.28,1440000
2000-07-05,146.38,146.66,144.38,144.62,2750000
2000-07-06,144.94,146.47,144.22,145.75,5960000
2000-07-07,146.69,148.78,146.25,148.09,3030000
2000-07-10,147.88,148.91,147.53,147.84,2820000
2000-07-11,147.47,149.12,147.16,148.16,5430000
2000-07-12,149.28,150.12,148.69,149.12,5880000
2000-07-13,149.98,150.38,149.19,149.78,5360000
2000-07-14,150.44,151.25,149.67,151.25,5340000
2000-07-17,150.98,151.98,150.69,151.0,4210000
2000-07-18,150.62,150.62,149.34,149.77,4260000
2000-07-19,149.47,149.91,148.25,148.56,8510000
2000-07-20,149.0,150.62,148.81,150.62,4540000
2000-07-21,149.75,149.75,147.69,147.69,5660000
2000-07-24,148.12,148.86,146.56,146.84,5630000
2000-07-25,147.75,147.84,146.78,147.31,4760000
2000-07-26,146.97,147.16,145.64,145.88,12060000
2000-07-27,145.94,146.62,144.69,145.38,7650000
2000-07-28,145.72,145.91,141.52,142.09,6230000
2000-07-31,142.94,144.12,142.06,143.0,5270000
2000-08-01,143.62,144.72,143.12,143.88,3950000
2000-08-02,143.88,145.41,143.62,144.59,7440000
2000-08-03,142.88,145.81,142.62,145.59,4610000
2000-08-04,146.31,146.72,145.41,146.38,3690000
2000-08-07,146.72,148.44,146.38,148.12,4160000
2000-08-08,147.5,148.81,147.5,148.69,3660000
2000-08-09,149.14,149.22,147.38,147.44,5380000
2000-08-10,147.53,147.86,146.28,146.72,4190000
2000-08-11,146.62,148.0,145.56,147.41,5090000
2000-08-14,147.78,149.56,147.06,149.28,2970000
2000-08-15,149.34,149.81,148.56,149.16,5560000
2000-08-16,149.31,149.94,147.84,148.62,5190000
2000-08-17,148.69,150.44,148.34,150.19,5650000
2000-08-18,150.38,150.38,149.22,149.69,4630000
2000-08-21,150.03,150.72,149.41,150.5,2380000
2000-08-22,150.56,151.31,150.09,150.25,3080000
2000-08-23,149.81,151.28,149.28,150.84,5480000
2000-08-24,151.16,151.55,150.5,151.31,4530000
2000-08-25,151.16,151.62,150.94,151.25,2820000
2000-08-28,151.25,152.91,151.25,151.77,5520000
2000-08-29,151.44,151.88,150.91,151.8,3560000
2000-08-30,151.31,151.5,150.34,150.34,3960000
2000-08-31,151.06,153.09,150.91,152.34,4860000
2000-09-01,153.25,153.59,152.0,152.5,3190000
2000-09-05,151.88,152.2,150.81,151.28,3470000
2000-09-06,151.19,151.95,149.53,149.56,4320000
2000-09-07,150.25,151.08,149.83,150.84,4270000
2000-09-08,150.28,150.5,149.33,149.81,3520000
2000-09-11,149.75,151.19,148.69,149.59,3940000
2000-09-12,149.75,150.25,148.44,148.5,4770000
2000-09-13,148.0,149.34,147.66,148.89,7690000
2000-09-14,149.88,149.94,148.16,149.64,3400000
2000-09-15,148.19,148.25,146.0,146.0,4090000
2000-09-18,146.38,146.97,144.2,144.66,5110000
2000-09-19,145.12,146.31,144.7,145.97,6590000
2000-09-20,145.69,146.03,143.16,144.89,6510000
2000-09-21,144.47,145.56,142.62,142.69,5970000
2000-09-22,142.62,145.31,142.42,145.28,7790000
2000-09-25,145.94,146.06,143.72,144.25,9730000
2000-09-26,144.38,145.0,142.41,142.41,5300000
2000-09-27,143.56,143.97,142.12,143.16,7190000
2000-09-28,143.19,146.33,142.89,145.0,7040000
2000-09-29,145.47,145.97,143.62,143.62,9330000
2000-10-02,144.28,144.91,143.14,143.84,5520000
2000-10-03,144.53,145.75,142.28,142.5,9350000
2000-10-04,142.88,144.25,141.75,143.69,6150000
2000-10-05,143.41,144.84,143.31,144.19,4570000
2000-10-06,143.88,144.64,139.75,141.06,10010000
2000-10-09,141.31,141.31,139.38,140.0,4510000
2000-10-10,140.09,141.25,137.69,137.69,6100000
2000-10-11,137.62,138.62,135.12,136.53,10370000
2000-10-12,137.28,137.59,132.78,133.12,12340000
2000-10-13,132.94,137.66,132.88,137.56,11780000
2000-10-16,137.41,138.23,136.69,138.19,5660000
2000-10-17,138.44,138.56,134.41,134.75,7830000
2000-10-18,132.62,136.12,130.16,134.25,10900000
2000-10-19,136.84,139.45,136.44,139.28,8770000
2000-10-20,138.38,141.19,138.38,139.91,7370000
2000-10-23,139.94,141.03,138.94,140.53,5290000
2000-10-24,140.97,141.94,139.0,139.59,5750000
2000-10-25,138.75,139.56,136.12,136.31,9140000
2000-10-26,137.12,137.66,134.03,136.69,9350000
2000-10-27,137.88,139.28,136.62,139.28,9760000
2000-10-30,138.44,141.09,138.16,140.53,10150000
2000-10-31,141.02,143.69,140.06,142.95,7750000
2000-11-01,142.25,143.25,141.22,142.47,6750000
2000-11-02,143.16,143.91,142.52,142.7,11400000
2000-11-03,143.47,143.75,142.38,142.78,5190000
2000-11-06,143.16,144.3,143.03,143.78,4040000
2000-11-07,143.14,144.0,142.56,143.75,5230000
2000-11-08,144.06,144.06,140.56,140.56,6120000
2000-11-09,140.0,141.22,137.25,140.03,10640000
2000-11-10,139.0,139.47,136.53,136.62,8570000
2000-11-13,135.62,136.98,133.02,135.56,17290000
2000-11-14,137.47,139.62,137.0,139.12,7670000
2000-11-15,139.06,140.11,137.75,139.56,8840000
2000-11-16,139.56,139.88,137.31,137.38,6680000
2000-11-17,137.31,139.0,135.75,136.64,6550000
2000-11-20,135.75,136.38,134.31,134.69,5460000
2000-11-21,134.88,136.19,133.52,135.38,7680000
2000-11-22,134.34,134.88,132.12,132.14,5740000
2000-11-24,133.62,134.97,133.62,134.84,3410000
2000-11-27,136.47,136.69,135.31,136.03,5990000
2000-11-28,135.12,136.59,133.64,133.69,5340000
2000-11-29,134.38,135.91,133.27,133.44,6910000
2000-11-30,132.5,133.5,129.75,132.28,11200000
2000-12-01,133.19,134.06,131.0,132.22,7590000
2000-12-04,131.88,133.88,131.5,133.34,7000000
2000-12-05,134.88,138.25,134.41,137.72,8880000
2000-12-06,137.78,138.34,135.03,135.52,12890000
2000-12-07,134.88,135.88,133.66,133.66,6530000
2000-12-08,137.06,139.12,133.88,133.97,10280000
2000-12-11,137.38,139.56,136.72,138.62,6410000
2000-12-12,138.19,138.81,137.38,138.03,5020000
2000-12-13,139.25,139.41,136.03,136.14,6070000
2000-12-14,135.88,136.5,134.03,134.41,7780000
2000-12-15,133.12,133.12,130.56,130.97,9070000
2000-12-18,132.06,133.47,131.77,132.72,7240000
2000-12-19,132.47,134.97,130.02,130.02,9620000
2000-12-20,128.62,128.94,126.09,126.25,9990000
2000-12-21,126.0,128.86,125.53,127.12,14330000
2000-12-22,129.0,131.11,128.84,130.94,10180000
2000-12-26,130.84,132.34,130.28,132.34,4670000
2000-12-27,132.0,133.73,131.25,133.31,4850000
2000-12-28,132.81,133.88,132.59,133.72,8360000
2000-12-29,134.06,134.28,131.19,131.19,8770000
2001-01-02,132.0,132.16,127.56,128.81,8740000
2001-01-03,128.31,136.0,127.66,135.0,19430000
2001-01-04,134.94,135.47,133.0,133.55,9220000
2001-01-05,133.47,133.62,129.19,129.19,12910000
2001-01-08,129.88,130.19,127.69,130.19,6630000
2001-01-09,131.05,131.5,129.42,129.84,5700000
2001-01-10,129.0,132.12,128.81,132.12,8750000
2001-01-11,131.09,133.48,131.09,132.25,7250000
2001-01-12,132.69,133.72,131.28,132.0,7240000
2001-01-16,132.0,133.19,131.52,132.84,8540000
2001-01-17,134.84,135.05,132.64,133.45,7850000
2001-01-18,133.44,135.7,132.94,134.78,8110000
2001-01-19,136.19,136.19,133.88,134.02,7830000
2001-01-22,134.25,135.78,133.56,134.91,7050000
2001-01-23,134.47,136.66,134.16,135.97,8460000
2001-01-24,136.25,137.31,135.84,136.38,6200000
2001-01-25,136.25,137.25,135.66,136.03,10820000
2001-01-26,135.16,136.12,134.45,135.88,7140000
2001-01-29,135.5,136.9,135.37,136.6,6710000
2001-01-30,136.3,137.92,135.79,137.8,7070000
2001-01-31,137.4,138.7,136.6,137.02,9710000
2001-02-01,137.1,137.95,136.25,137.93,8240000
2001-02-02,137.4,137.99,134.75,134.8,8280000
2001-02-05,134.8,135.94,134.75,135.79,4350000
2001-02-06,135.3,136.7,135.22,135.39,7110000
2001-02-07,134.72,135.4,133.68,134.69,5750000
2001-02-08,134.8,135.4,133.1,133.12,5940000
2001-02-09,133.35,133.35,131.26,131.84,9910000
2001-02-12,131.7,133.5,131.7,133.35,5800000
2001-02-13,133.7,134.17,132.0,132.26,6590000
2001-02-14,132.63,132.65,130.66,132.06,8400000
2001-02-15,132.84,133.52,131.99,133.34,5930000
2001-02-16,131.0,131.29,129.3,130.4,6430000
2001-02-20,131.04,131.14,128.1,128.39,5760000
2001-02-21,127.9,128.84,125.5,125.62,10910000
2001-02-22,126.35,126.54,123.02,125.81,21280000
2001-02-23,125.08,125.54,121.8,124.96,20170000
2001-02-26,125.8,127.62,124.5,127.62,11500000
2001-02-27,126.8,127.84,125.51,126.44,11420000
2001-02-28,126.75,126.84,123.27,123.95,14830000
2001-03-01,124.05,124.6,121.75,124.6,14670000
2001-03-02,122.5,125.65,122.3,123.61,12560000
2001-03-05,124.15,124.78,123.81,124.74,5290000
2001-03-06,126.35,127.75,125.49,126.08,6920000
2001-03-07,126.9,127.04,125.76,126.98,6370000
2001-03-08,126.6,127.24,126.14,127.12,6060000
2001-03-09,126.1,126.1,123.11,123.36,10020000
2001-03-12,122.34,122.5,117.75,118.08,13970000
2001-03-13,119.4,120.44,117.53,120.02,12890000
2001-03-14,117.05,119.29,115.75,117.65,19880000
2001-03-15,118.45,118.86,117.36,117.68,10370000
2001-03-16,117.13,117.4,114.81,115.01,58520000
2001-03-19,115.76,117.69,114.82,117.35,10070000
2001-03-20,117.9,118.46,114.11,114.2,15090000
2001-03-21,114.18,115.26,111.9,112.26,19000000
2001-03-22,112.02,112.6,108.04,111.12,28630000
2001-03-23,113.25,114.66,111.5,114.48,12860000
2001-03-26,115.7,116.27,114.77,115.94,9940000
2001-03-27,115.62,118.65,115.28,118.31,12880000
2001-03-28,116.9,116.95,114.9,115.04,10950000
2001-03-29,114.7,116.5,112.14,115.48,12060000
2001-03-30,115.55,116.69,114.5,116.69,9180000
2001-04-02,116.3,117.38,113.8,114.2,10560000
2001-04-03,113.98,114.15,110.06,110.39,12840000
2001-04-04,110.58,112.1,109.3,110.85,14890000
2001-04-05,113.3,115.49,112.5,115.05,21530000
2001-04-06,113.99,114.4,112.06,113.3,14940000
2001-04-09,114.0,114.99,112.78,114.56,9040000
2001-04-10,115.45,117.75,115.17,116.65,17880000
2001-04-11,118.78,118.99,116.14,116.73,12740000
2001-04-12,116.3,118.94,115.96,118.85,9230000
2001-04-16,118.29,118.89,116.91,117.6,7350000
2001-04-17,117.31,119.66,117.02,119.26,10930000
2001-04-18,121.06,126.0,120.69,124.0,32500000
2001-04-19,124.25,125.84,123.58,125.65,13810000
2001-04-20,124.9,125.4,123.66,124.5,7630000
2001-04-23,123.65,123.89,121.91,122.24,8450000
2001-04-24,122.52,123.65,121.1,121.58,10050000
2001-04-25,121.42,123.67,120.95,123.17,8250000
2001-04-26,123.73,125.22,123.5,123.72,10590000
2001-04-27,124.92,125.84,124.2,125.78,8050000
2001-04-30,126.45,127.27,124.67,124.91,10770000
2001-05-01,125.07,127.15,124.6,127.05,10580000
2001-05-02,127.41,127.69,126.0,126.82,9570000
2001-05-03,126.13,126.15,124.22,125.21,9930000
2001-05-04,123.65,127.35,123.44,127.34,12150000
2001-05-07,126.86,127.38,126.23,126.24,7190000
2001-05-08,126.86,127.1,125.56,126.18,6950000
2001-05-09,125.25,126.55,125.06,125.65,9510000
2001-05-10,127.26,127.5,125.77,126.02,6870000
2001-05-11,126.0,126.49,124.4,125.15,7740000
2001-05-14,124.9,125.44,124.46,125.4,7910000
2001-05-15,125.55,126.5,124.85,125.98,9780000
2001-05-16,124.84,129.2,124.62,128.95,14920000
2001-05-17,129.0,130.08,128.56,129.15,11830000
2001-05-18,129.09,129.74,128.1,129.74,6680000
2001-05-21,129.84,131.84,129.15,131.65,11530000
2001-05-22,131.83,132.09,131.07,131.48,8340000
2001-05-23,131.05,131.05,129.25,129.25,12330000
2001-05-24,129.47,130.0,128.55,129.63,7910000
2001-05-25,129.65,129.7,127.9,128.1,7430000
2001-05-29,128.23,128.35,126.9,127.08,9010000
2001-05-30,126.59,127.09,125.0,125.3,10040000
2001-05-31,125.43,126.76,125.26,125.95,9880000
2001-06-01,126.2,127.1,125.12,126.73,8850000
2001-06-04,126.8,127.43,126.08,127.34,5630000
2001-06-05,127.49,129.23,127.27,128.8,9120000
2001-06-06,128.83,128.83,127.36,127.73,12070000
2001-06-07,127.05,128.35,127.0,128.19,7360000
2001-06-08,127.7,127.87,126.14,127.0,8170000
2001-06-11,126.71,126.99,125.41,126.1,7010000
2001-06-12,124.86,126.74,124.04,125.88,9370000
2001-06-13,126.17,126.58,124.65,124.8,7630000
2001-06-14,124.18,124.3,121.75,122.0,12600000
2001-06-15,120.91,122.4,120.4,121.85,16820000
2001-06-18,121.65,122.44,120.91,121.26,11380000
2001-06-19,122.38,122.89,120.89,121.79,7730000
2001-06-20,121.19,122.86,121.1,122.43,8790000
2001-06-21,122.22,124.31,122.15,123.82,12260000
2001-06-22,123.49,123.6,122.16,122.85,12210000
2001-06-25,123.28,123.44,121.5,121.72,8410000
2001-06-26,120.9,122.39,120.57,121.55,8010000
2001-06-27,121.6,122.24,120.91,121.48,10110000
2001-06-28,122.0,123.94,121.93,122.15,10270000
2001-06-29,122.8,124.01,122.26,122.6,9820000
2001-07-02,122.8,124.32,122.62,124.13,8520000
2001-07-03,123.98,124.1,123.05,124.1,3300000
2001-07-05,123.07,123.65,121.66,121.68,5520000
2001-07-06,121.31,121.49,119.05,119.05,11670000
2001-07-09,119.49,120.54,119.2,119.7,8340000
2001-07-10,120.29,120.64,118.21,118.26,8630000
2001-07-11,118.1,118.89,117.09,118.38,15370000
2001-07-12,119.5,121.47,119.31,121.19,12000000
2001-07-13,120.84,122.32,120.62,122.24,10430000
2001-07-16,121.77,122.28,120.29,120.71,6920000
2001-07-17,120.2,121.95,119.83,121.84,7470000
2001-07-18,120.56,121.64,120.06,121.01,7710000
2001-07-19,122.18,122.98,120.76,122.07,10080000
2001-07-20,121.15,121.94,120.92,121.34,6710000
2001-07-23,121.8,121.88,118.95,118.95,8070000
2001-07-24,119.0,119.2,116.75,117.8,12270000
2001-07-25,117.92,119.48,117.46,119.1,12090000
2001-07-26,119.06,120.85,118.56,120.35,12930000
2001-07-27,120.83,121.35,119.91,120.81,8480000
2001-07-30,121.19,121.35,120.3,120.85,8550000
2001-07-31,121.0,122.68,120.8,121.35,11920000
2001-08-01,121.97,122.7,121.55,122.11,11940000
2001-08-02,123.23,123.25,121.89,122.61,11070000
2001-08-03,122.36,122.36,120.9,121.94,10820000
2001-08-06,121.35,121.51,120.1,120.3,8550000
2001-08-07,120.27,121.2,119.91,120.77,8870000
2001-08-08,120.12,121.16,118.43,118.53,15180000
2001-08-09,118.7,118.97,117.86,118.88,14120000
2001-08-10,118.8,119.84,117.34,119.29,11170000
2001-08-13,119.6,119.85,118.82,119.32,7440000
2001-08-14,120.14,120.35,118.8,119.27,13180000
2001-08-15,119.23,119.61,118.08,118.24,8520000
2001-08-16,117.8,118.75,117.0,118.65,10740000
2001-08-17,117.65,117.87,116.01,116.75,11600000
2001-08-20,116.8,117.9,116.55,117.83,10420000
2001-08-21,117.8,118.54,115.8,115.82,14480000
2001-08-22,116.75,117.43,115.78,117.02,11750000
2001-08-23,116.96,117.52,116.49,116.6,8750000
2001-08-24,117.21,119.13,116.74,119.02,11690000
2001-08-27,118.97,119.2,118.26,118.31,7430000
2001-08-28,118.28,118.49,116.58,116.58,12050000
2001-08-29,117.13,117.18,115.17,115.54,16180000
2001-08-30,114.85,115.74,112.04,113.32,17690000
2001-08-31,113.4,114.77,113.13,114.15,15990000
2001-09-04,113.85,116.17,113.37,113.42,24480000
2001-09-05,113.7,114.19,111.95,113.7,21480000
2001-09-06,112.65,113.3,110.77,110.77,21660000
2001-09-07,110.02,111.25,108.63,108.72,33130000
2001-09-10,107.7,110.35,107.7,110.05,23410000
2001-09-17,101.0,106.4,100.0,104.3,32390000
2001-09-18,104.33,105.3,103.36,104.05,22030000
2001-09-19,104.1,104.5,98.56,101.95,42770000
2001-09-20,100.4,101.81,98.57,98.71,36210000
2001-09-21,94.05,98.99,93.8,97.28,49780000
2001-09-24,99.73,101.16,99.06,100.7,25550000
2001-09-25,100.75,102.0,99.9,101.75,25470000
2001-09-26,102.35,102.4,100.43,101.39,18590000
2001-09-27,101.25,102.29,100.0,102.27,20540000
2001-09-28,102.98,104.6,102.5,104.44,21790000
2001-10-01,103.9,104.32,102.83,104.27,20460000
2001-10-02,104.0,105.58,103.65,105.58,19830000
2001-10-03,104.6,107.88,104.35,107.35,32070000
2001-10-04,108.29,108.97,106.75,107.44,32680000
2001-10-05,107.25,107.62,105.52,107.23,29830000
2001-10-08,106.28,107.3,105.87,106.53,12970000
2001-10-09,106.61,106.75,105.6,105.96,15980000
2001-10-10,105.8,108.55,105.52,108.32,19990000
2001-10-11,108.95,110.3,108.95,110.0,23010000
2001-10-12,109.15,109.89,107.3,109.5,31360000
2001-10-15,108.63,109.45,108.06,109.3,16880000
2001-10-16,109.8,110.62,108.95,109.99,15890000
2001-10-17,111.07,111.15,107.65,107.65,28600000
2001-10-18,107.82,108.16,106.75,107.42,16520000
2001-10-19,107.0,107.91,106.01,107.35,21920000
2001-10-22,107.3,109.57,107.21,109.47,17570000
2001-10-23,109.96,110.28,108.38,108.91,22060000
2001-10-24,108.98,109.45,108.22,108.62,16070000
2001-10-25,107.45,110.6,106.74,110.57,27500000
2001-10-26,109.95,111.79,109.67,110.32,18620000
2001-10-29,110.16,110.55,107.45,107.45,18740000
2001-10-30,107.35,107.7,105.56,106.16,26200000
2001-10-31,106.9,107.86,105.8,105.8,28130000
2001-11-01,106.6,109.01,105.7,108.51,29810000
2001-11-02,108.44,109.38,107.87,109.25,17580000
2001-11-05,110.12,111.09,109.95,110.68,16100000
2001-11-06,110.35,112.48,109.85,112.4,23250000
2001-11-07,111.77,113.12,111.64,112.25,19720000
2001-11-08,112.87,114.08,111.9,112.6,22750000
2001-11-09,112.25,112.96,111.44,112.72,15900000
2001-11-12,111.0,112.65,110.0,112.03,26100000
2001-11-13,113.44,114.55,113.18,114.55,15350000
2001-11-14,115.17,115.4,113.71,114.66,17600000
2001-11-15,114.37,115.18,113.93,114.87,19470000
2001-11-16,115.08,115.1,113.4,114.36,18140000
2001-11-19,114.92,115.85,114.45,115.77,13680000
2001-11-20,115.37,115.8,114.64,114.8,16220000
2001-11-21,114.5,114.67,113.51,114.04,11470000
2001-11-23,114.04,115.75,114.0,115.68,6720000
2001-11-26,115.75,116.34,115.07,115.93,13730000
2001-11-27,115.62,116.9,114.09,115.43,19270000
2001-11-28,114.74,115.17,113.25,113.34,20250000
2001-11-29,113.66,114.92,113.0,114.87,17270000
2001-11-30,114.4,114.91,114.02,114.05,13680000
2001-12-03,113.65,114.08,113.01,113.37,15220000
2001-12-04,113.92,115.3,113.35,115.29,17250000
2001-12-05,115.61,118.0,115.56,117.4,25200000
2001-12-06,117.35,117.94,116.93,117.34,17970000
2001-12-07,116.9,117.09,115.7,116.56,18910000
2001-12-10,115.85,116.39,114.35,114.38,13860000
2001-12-11,114.9,115.72,113.9,114.15,20830000
2001-12-12,114.55,114.78,113.11,114.28,16170000
2001-12-13,113.45,113.7,112.04,112.06,19040000
2001-12-14,112.33,113.49,112.0,113.13,16720000
2001-12-17,112.99,114.36,112.9,114.3,13950000
2001-12-18,114.63,115.15,114.34,114.98,13660000
2001-12-19,114.09,115.92,114.0,115.79,20150000
2001-12-20,115.5,115.8,114.55,114.65,14870000
2001-12-21,115.03,115.07,114.2,114.95,14040000
2001-12-24,114.83,115.04,114.61,114.73,5730000
2001-12-26,114.65,116.21,114.65,115.36,10310000
2001-12-27,115.3,116.08,115.26,116.06,9410000
2001-12-28,116.29,116.75,115.92,116.0,10590000
2001-12-31,116.15,116.39,114.23,114.3,14620000
2002-01-02,115.11,115.75,113.81,115.53,18650000
2002-01-03,115.65,116.95,115.54,116.84,15740000
2002-01-04,117.17,117.98,116.55,117.62,20140000
2002-01-07,117.7,117.99,116.56,116.79,13110000
2002-01-08,116.8,117.06,115.97,116.52,12690000
2002-01-09,116.68,117.78,115.34,115.57,16620000
2002-01-10,115.69,116.35,115.3,116.08,12820000
2002-01-11,116.21,116.28,114.7,114.94,13710000
2002-01-14,114.65,114.84,113.96,114.22,12300000
2002-01-15,114.55,115.39,113.9,115.15,20220000
2002-01-16,114.3,114.4,112.69,112.82,17080000
2002-01-17,113.76,114.24,113.4,113.67,17710000
2002-01-18,113.0,113.85,112.67,113.15,17030000
2002-01-22,113.75,113.93,112.02,112.37,11690000
2002-01-23,112.63,113.55,112.02,113.23,12440000
2002-01-24,113.64,114.25,113.32,113.58,12160000
2002-01-25,113.12,114.18,113.04,113.55,12810000
